,id,title,release_year,country,duration,language,certification,gross,budget
1316,1317,The Sixth Sense,1999,USA,107,English,PG-13,293501675.0,40000000
1317,1318,The Story of Us,1999,USA,95,English,R,27067160.0,50000000
1318,1319,The Straight Story,1999,France,112,English,G,6197866.0,10000000
1319,1320,The Talented Mr. Ripley,1999,USA,139,English,R,81292135.0,40000000
1320,1321,The Thirteenth Floor,1999,Germany,100,English,R,15500000.0,16000000
1321,1322,The Thomas Crown Affair,1999,USA,113,English,R,69304264.0,48000000
1322,1323,The Virgin Suicides,1999,USA,90,English,R,4859475.0,6000000
1324,1325,The Wood,1999,USA,106,English,R,25047631.0,6000000
1325,1326,The World Is Not Enough,1999,UK,128,English,PG-13,126930660.0,135000000
1326,1327,Three Kings,1999,USA,114,English,R,60652036.0,48000000
1327,1328,Three to Tango,1999,Australia,98,English,PG-13,10544143.0,20000000
1328,1329,Topsy-Turvy,1999,UK,154,English,R,6201757.0,10000000
1329,1330,Toy Story 2,1999,USA,82,English,G,245823397.0,90000000
1331,1332,Tumbleweeds,1999,USA,102,English,PG-13,1281176.0,312000
1332,1333,Twin Falls Idaho,1999,USA,111,English,R,985341.0,500000
1333,1334,Universal Soldier: The Return,1999,USA,83,English,R,10431220.0,24000000
1334,1335,Varsity Blues,1999,USA,106,English,R,52885587.0,16000000
1335,1336,Wild Wild West,1999,USA,106,English,PG-13,113745408.0,170000000
1336,1337,Wing Commander,1999,USA,100,English,PG-13,11576087.0,30000000
1337,1338,102 Dalmatians,2000,USA,100,English,G,66941559.0,85000000
1338,1339,28 Days,2000,USA,103,English,PG-13,37035515.0,43000000
1339,1340,3 Strikes,2000,USA,82,English,R,9821335.0,6000000
1341,1342,All the Pretty Horses,2000,USA,220,English,PG-13,15527125.0,57000000
1342,1343,Almost Famous,2000,USA,152,English,R,32522352.0,60000000
1343,1344,American Psycho,2000,USA,102,English,R,15047419.0,7000000
1344,1345,Amores Perros,2000,Mexico,115,Spanish,R,5383834.0,2000000
1345,1346,An Everlasting Piece,2000,USA,103,English,R,75078.0,14000000
1346,1347,Anatomy,2000,Germany,103,German,R,5725.0,8400000
1347,1348,Autumn in New York,2000,USA,103,English,PG-13,37752931.0,40000000
1348,1349,Bamboozled,2000,USA,135,English,R,2185266.0,10000000
1349,1350,Battlefield Earth,2000,USA,119,English,PG-13,21471685.0,44000000
1350,1351,Bedazzled,2000,USA,93,English,PG-13,37879996.0,48000000
1351,1352,Best in Show,2000,USA,90,English,PG-13,18621249.0,6000000
1352,1353,Big Momma's House,2000,USA,99,English,PG-13,117559438.0,30000000
1353,1354,Billy Elliot,2000,UK,110,English,R,21994911.0,5000000
1354,1355,Bless the Child,2000,USA,107,English,R,29374178.0,40000000
1355,1356,Boiler Room,2000,USA,120,English,R,16938179.0,8000000
1356,1357,Book of Shadows: Blair Witch 2,2000,USA,90,English,R,26421314.0,15000000
1357,1358,Boys and Girls,2000,USA,94,English,PG-13,20627372.0,16000000
1358,1359,Bring It On,2000,USA,98,English,PG-13,68353550.0,10000000
1359,1360,Brother,2000,USA,114,English,R,447750.0,10000000
1360,1361,Cast Away,2000,USA,143,English,PG-13,233630478.0,90000000
1361,1362,Cecil B. DeMented,2000,France,87,English,R,1276984.0,10000000
1362,1363,Center Stage,2000,USA,115,English,PG-13,17174870.0,18000000
1363,1364,Charlie's Angels,2000,USA,94,English,PG-13,125305545.0,92000000
1364,1365,Chicken Run,2000,UK,84,English,G,106793915.0,45000000
1365,1366,Chocolat,2000,UK,121,English,PG-13,71309760.0,25000000
1366,1367,Chuck & Buck,2000,USA,96,English,R,1050600.0,250000
1367,1368,Coyote Ugly,2000,USA,107,English,PG-13,60786269.0,45000000
1368,1369,"Crouching Tiger, Hidden Dragon",2000,Taiwan,120,Mandarin,PG-13,128067808.0,15000000
1369,1370,Dancer in the Dark,2000,Denmark,140,English,R,4157491.0,12800000
1370,1371,Digimon: The Movie,2000,USA,82,English,PG,9628751.0,5000000
1372,1373,Dinosaur,2000,USA,82,English,PG,137748063.0,127500000
1373,1374,Down to You,2000,USA,91,English,PG-13,20035310.0,9000000
1374,1375,Dracula 2000,2000,USA,99,English,R,33000377.0,28000000
1375,1376,Drowning Mona,2000,USA,96,English,PG-13,15427192.0,16000000
1376,1377,"Dude, Where's My Car?",2000,USA,83,English,PG-13,46729374.0,13000000
1377,1378,Duets,2000,USA,112,English,R,4734235.0,15000000
1378,1379,Erin Brockovich,2000,USA,131,English,R,125548685.0,52000000
1380,1381,Final Destination,2000,USA,98,English,R,53302314.0,23000000
1381,1382,Finding Forrester,2000,USA,136,English,PG-13,51768623.0,43000000
1383,1384,Frequency,2000,USA,118,English,PG-13,44983704.0,31000000
1384,1385,George Washington,2000,USA,90,English,Unrated,241816.0,42000
1385,1386,Get Carter,2000,USA,102,English,R,14967182.0,40000000
1386,1387,Gladiator,2000,USA,171,English,R,187670866.0,103000000
1387,1388,Gone in Sixty Seconds,2000,USA,127,English,PG-13,101643008.0,90000000
1388,1389,Gossip,2000,USA,90,English,R,5108820.0,24000000
1389,1390,Groove,2000,USA,86,English,R,1114943.0,500000
1390,1391,Gun Shy,2000,USA,101,English,R,1631839.0,10000000
1391,1392,Hanging Up,2000,Germany,94,English,PG-13,36037909.0,60000000
1392,1393,Here on Earth,2000,USA,96,English,PG-13,10494147.0,15000000
1393,1394,High Fidelity,2000,UK,113,English,R,27277055.0,20000000
1394,1395,Highlander: Endgame,2000,USA,101,English,R,12801190.0,15000000
1395,1396,Hollow Man,2000,USA,119,English,R,73209340.0,95000000
1396,1397,How the Grinch Stole Christmas,2000,USA,110,English,PG,260031035.0,123000000
1398,1399,I Dreamed of Africa,2000,USA,114,English,PG-13,6543194.0,34000000
1399,1400,Isn't She Great,2000,USA,95,English,R,2954405.0,36000000
1400,1401,Keeping the Faith,2000,USA,128,English,PG-13,37036404.0,30000000
1402,1403,Little Nicky,2000,USA,90,English,PG-13,39442871.0,80000000
1403,1404,Loser,2000,USA,98,English,PG-13,15464026.0,20000000
1404,1405,Lost Souls,2000,USA,97,English,R,16779636.0,28000000
1405,1406,Love & Basketball,2000,USA,124,English,PG-13,27441122.0,15000000
1406,1407,Lucky Numbers,2000,France,105,English,R,10014234.0,65000000
1407,1408,Luminarias,2000,USA,100,English,R,428535.0,1000000
1408,1409,"Me, Myself & Irene",2000,USA,116,English,R,90567722.0,51000000
1409,1410,Meet the Parents,2000,USA,108,English,PG-13,166225040.0,55000000
1410,1411,Memento,2000,USA,113,English,R,25530884.0,9000000
1411,1412,Men of Honor,2000,USA,129,English,R,48814909.0,32000000
1412,1413,Mercy Streets,2000,USA,106,English,PG-13,171988.0,600000
1414,1415,Miss Congeniality,2000,USA,109,English,PG-13,106807667.0,45000000
1415,1416,Mission to Mars,2000,USA,114,English,PG,60874615.0,90000000
1416,1417,Mission: Impossible II,2000,USA,123,English,PG-13,215397307.0,125000000
1417,1418,My Dog Skip,2000,USA,95,English,PG,34099640.0,5000000
1418,1419,Next Friday,2000,USA,98,English,R,57176582.0,9500000
1419,1420,Nine Queens,2000,Argentina,114,Spanish,R,1221261.0,1500000
1420,1421,Nurse Betty,2000,Germany,110,English,R,25167270.0,24000000
1421,1422,Nutty Professor II: The Klumps,2000,USA,109,English,PG-13,123307945.0,65000000
1422,1423,"O Brother, Where Art Thou?",2000,UK,107,English,PG-13,45506619.0,26000000
1424,1425,Pay It Forward,2000,USA,123,English,PG-13,33508922.0,40000000
1425,1426,Pitch Black,2000,USA,112,English,R,39235088.0,23000000
1427,1428,Pollock,2000,USA,122,English,R,8596914.0,6000000
1428,1429,Proof of Life,2000,USA,135,English,R,32598931.0,65000000
1429,1430,Psycho Beach Party,2000,Australia,85,English,Unrated,265107.0,1500000
1430,1431,Quills,2000,UK,124,English,R,7060876.0,13500000
1431,1432,Ready to Rumble,2000,USA,107,English,PG-13,12372410.0,24000000
1432,1433,Red Planet,2000,USA,106,English,PG-13,17473245.0,70000000
1433,1434,Reindeer Games,2000,USA,124,English,R,23360779.0,34000000
1434,1435,Remember the Titans,2000,USA,120,English,PG,115648585.0,30000000
1435,1436,Requiem for a Dream,2000,USA,102,English,R,3609278.0,4500000
1436,1437,Return to Me,2000,USA,115,English,PG,32662299.0,24000000
1437,1438,Road Trip,2000,USA,94,English,R,68525609.0,15600000
1438,1439,Romeo Must Die,2000,USA,115,English,R,55973336.0,25000000
1439,1440,Rugrats in Paris: The Movie,2000,Germany,78,English,G,76501438.0,30000000
1440,1441,Scream 3,2000,USA,116,English,R,89138076.0,40000000
1441,1442,Screwed,2000,USA,81,English,PG-13,6982680.0,10000000
1443,1444,Shadow of the Vampire,2000,UK,92,English,R,8279017.0,8000000
1444,1445,Shaft,2000,Germany,99,English,R,70327868.0,46000000
1445,1446,Shanghai Noon,2000,USA,110,English,PG-13,56932305.0,55000000
1446,1447,Small Time Crooks,2000,USA,94,English,PG,17071230.0,18000000
1447,1448,Snatch,2000,UK,104,English,R,30093107.0,6000000
1448,1449,Snatch,2000,UK,104,English,R,30093107.0,6000000
1449,1450,Snow Day,2000,USA,89,English,PG,60008303.0,13000000
1450,1451,Songcatcher,2000,USA,109,English,PG-13,3050934.0,1800000
1451,1452,Space Cowboys,2000,USA,130,English,PG-13,90454043.0,65000000
1452,1453,Supernova,2000,USA,91,English,PG-13,14218868.0,65000000
1453,1454,Tadpole,2000,USA,78,English,PG-13,2882062.0,150000
1454,1455,The 6th Day,2000,USA,123,English,PG-13,34543701.0,82000000
1455,1456,The Adventures of Rocky & Bullwinkle,2000,USA,92,English,PG,26000610.0,76000000
1456,1457,The Art of War,2000,USA,116,English,R,30199105.0,40000000
1457,1458,The Beach,2000,USA,119,English,R,39778599.0,50000000
1458,1459,The Broken Hearts Club: A Romantic Comedy,2000,USA,94,English,R,1744858.0,1000000
1459,1460,The Cell,2000,USA,109,English,R,61280963.0,33000000
1460,1461,The Circle,2000,Iran,90,Persian,Not Rated,673780.0,10000
1461,1462,The Claim,2000,UK,115,English,R,403932.0,20000000
1462,1463,The Claim,2000,UK,115,English,R,403932.0,20000000
1463,1464,The Contender,2000,USA,126,English,R,17804273.0,20000000
1464,1465,The Crew,2000,USA,88,English,PG-13,13019253.0,23000000
1465,1466,The Emperor's New Groove,2000,USA,78,English,G,89296573.0,100000000
1466,1467,The Family Man,2000,USA,125,English,PG-13,75764085.0,60000000
1467,1468,The Flintstones in Viva Rock Vegas,2000,USA,90,English,PG,35231365.0,60000000
1468,1469,The House of Mirth,2000,UK,135,English,PG,3041803.0,10000000
1469,1470,The In Crowd,2000,USA,105,English,PG-13,5217498.0,15000000
1470,1471,The Kid,2000,USA,104,English,PG,69688384.0,60000000
1471,1472,The Ladies Man,2000,USA,84,English,R,13592872.0,11000000
1472,1473,The Legend of Bagger Vance,2000,USA,126,English,PG-13,30695227.0,60000000
1473,1474,The Little Vampire,2000,Germany,95,English,PG,13555988.0,22000000
1474,1475,The Next Best Thing,2000,USA,99,English,PG-13,14983572.0,25000000
1475,1476,The Original Kings of Comedy,2000,USA,115,English,R,38168022.0,3000000
1476,1477,The Patriot,2000,USA,142,English,R,113330342.0,110000000
1477,1478,The Perfect Storm,2000,USA,130,English,PG-13,182618434.0,140000000
1478,1479,The Replacements,2000,USA,118,English,PG-13,44737059.0,50000000
1479,1480,The Road to El Dorado,2000,USA,89,English,PG,50802661.0,95000000
1480,1481,The Skulls,2000,USA,106,English,PG-13,35007180.0,15000000
1481,1482,The Specials,2000,USA,82,English,R,12996.0,1000000
1482,1483,The Tigger Movie,2000,USA,77,English,G,45542421.0,30000000
1483,1484,The Watcher,2000,USA,97,English,R,28927720.0,33000000
1484,1485,The Way of the Gun,2000,USA,119,English,R,6047856.0,8500000
1485,1486,The Whole Nine Yards,2000,USA,98,English,R,57262492.0,24000000
1486,1487,The Widow of Saint-Pierre,2000,France,112,French,R,3058380.0,100000000
1487,1488,The Yards,2000,USA,115,English,R,882710.0,24000000
1489,1490,Thirteen Days,2000,USA,145,English,PG-13,34566746.0,80000000
1490,1491,Thomas and the Magic Railroad,2000,UK,85,English,G,15911333.0,19000000
1491,1492,Titan A.E.,2000,USA,94,English,PG,22751979.0,75000000
1492,1493,Traffic,2000,USA,190,English,R,124107476.0,48000000
1493,1494,U-571,2000,France,116,English,PG-13,77086030.0,62000000
1494,1495,Unbreakable,2000,USA,106,English,PG-13,94999143.0,75000000
1495,1496,Urban Legends: Final Cut,2000,USA,97,English,R,21468807.0,14000000
1496,1497,Urbania,2000,USA,106,English,R,1027119.0,225000
1497,1498,Vertical Limit,2000,USA,124,English,PG-13,68473360.0,75000000
1498,1499,What Lies Beneath,2000,USA,130,English,PG-13,155370362.0,100000000
1499,1500,What Planet Are You From?,2000,USA,87,English,R,6291602.0,50000000
1500,1501,What Women Want,2000,USA,127,English,PG-13,182805123.0,70000000
1501,1502,Whatever It Takes,2000,USA,94,English,PG-13,8735529.0,15000000
1502,1503,Where the Heart Is,2000,USA,120,English,PG-13,33771174.0,15000000
1503,1504,Whipped,2000,USA,82,English,R,4142507.0,3000000
1504,1505,Woman on Top,2000,USA,92,English,R,5018450.0,8000000
1505,1506,Wonder Boys,2000,USA,107,English,R,19389454.0,55000000
1506,1507,X-Men,2000,USA,104,English,PG-13,157299717.0,75000000
1507,1508,You Can Count on Me,2000,USA,111,English,R,9180275.0,1200000
1508,1509,15 Minutes,2001,USA,120,English,R,24375436.0,42000000
1509,1510,3000 Miles to Graceland,2001,USA,125,English,R,15738632.0,42000000
1510,1511,A Beautiful Mind,2001,USA,135,English,PG-13,170708996.0,58000000
1511,1512,A Knight's Tale,2001,USA,144,English,PG-13,56083966.0,65000000
1512,1513,A.I. Artificial Intelligence,2001,USA,146,English,PG-13,78616689.0,100000000
1513,1514,Ali,2001,USA,165,English,R,58183966.0,107000000
1515,1516,All the Queen's Men,2001,Germany,105,English,PG-13,22723.0,25000000
1516,1517,Along Came a Spider,2001,USA,104,English,R,74058698.0,60000000
1517,1518,AmÃ©lie,2001,France,122,French,R,33201661.0,77000000
1518,1519,America's Sweethearts,2001,USA,102,English,PG-13,93607673.0,48000000
1519,1520,American Desi,2001,USA,100,English,Unrated,902835.0,250000
1520,1521,American Outlaws,2001,USA,94,English,PG-13,13264986.0,35000000
1521,1522,American Pie 2,2001,USA,108,English,R,145096820.0,30000000
1522,1523,Angel Eyes,2001,USA,102,English,R,24044532.0,38000000
1523,1524,Antitrust,2001,USA,109,English,PG-13,10965209.0,30000000
1524,1525,Atlantis: The Lost Empire,2001,USA,95,English,PG,84037039.0,120000000
1526,1527,Baby Boy,2001,USA,130,English,R,28734552.0,16000000
1527,1528,Bandits,2001,USA,123,English,PG-13,41523271.0,80000000
1528,1529,Behind Enemy Lines,2001,USA,106,English,PG-13,59068786.0,40000000
1529,1530,Birthday Girl,2001,UK,93,English,R,4919896.0,13000000
1530,1531,Black Hawk Down,2001,USA,152,English,R,108638745.0,92000000
1531,1532,Black Knight,2001,USA,95,English,PG-13,33422806.0,50000000
1532,1533,Blow,2001,USA,124,English,R,52937130.0,30000000
1533,1534,Bridget Jones's Diary,2001,UK,97,English,R,71500556.0,26000000
1534,1535,Brigham City,2001,USA,119,English,PG-13,798341.0,1000000
1535,1536,Bubble Boy,2001,USA,84,English,PG-13,5002310.0,13000000
1536,1537,Buffalo Soldiers,2001,UK,98,English,R,353743.0,15000000
1538,1539,Captain Corelli's Mandolin,2001,UK,131,English,R,25528495.0,57000000
1539,1540,Cats & Dogs,2001,USA,87,English,PG,93375151.0,60000000
1540,1541,Corky Romano,2001,USA,86,English,PG-13,23978402.0,11000000
1541,1542,Crazy/Beautiful,2001,USA,135,English,PG-13,16929123.0,14000000
1542,1543,Crocodile Dundee in Los Angeles,2001,Australia,92,English,PG,25590119.0,21150000
1544,1545,Domestic Disturbance,2001,USA,89,English,PG-13,45207112.0,53000000
1545,1546,Don't Say a Word,2001,USA,113,English,R,54997476.0,50000000
1546,1547,Donnie Darko,2001,USA,133,English,R,727883.0,4500000
1547,1548,Double Take,2001,USA,88,English,PG-13,20218.0,24000000
1548,1549,Down and Out with the Dolls,2001,USA,88,English,R,58936.0,1200000
1549,1550,Down to Earth,2001,USA,87,English,PG-13,64172251.0,30000000
1550,1551,Dr. Dolittle 2,2001,USA,87,English,PG,112950721.0,72000000
1551,1552,Driven,2001,USA,116,English,PG-13,32616869.0,72000000
1552,1553,Elling,2001,Norway,89,Norwegian,R,313436.0,15500000
1553,1554,Enemy at the Gates,2001,USA,131,English,R,51396781.0,68000000
1554,1555,Exit Wounds,2001,USA,101,English,R,51758599.0,33000000
1555,1556,Final Fantasy: The Spirits Within,2001,USA,106,English,PG-13,32131830.0,137000000
1556,1557,Formula 51,2001,UK,93,English,R,5204007.0,28000000
1557,1558,Frailty,2001,USA,100,English,R,13103828.0,11000000
1558,1559,Freddy Got Fingered,2001,USA,87,English,R,14249005.0,15000000
1559,1560,From Hell,2001,USA,122,English,R,31598308.0,35000000
1560,1561,From Hell,2001,USA,122,English,R,31598308.0,35000000
1561,1562,Get Over It,2001,USA,87,English,PG-13,11560259.0,22000000
1562,1563,Ghost World,2001,USA,111,English,R,6200756.0,7000000
1563,1564,Ghosts of Mars,2001,USA,98,English,R,8434601.0,28000000
1564,1565,Glitter,2001,USA,104,English,PG-13,4273372.0,22000000
1565,1566,Gosford Park,2001,UK,131,English,R,41300105.0,19800000
1566,1567,Hardball,2001,USA,106,English,PG-13,40219708.0,21000000
1567,1568,Harry Potter and the Sorcerer's Stone,2001,UK,159,English,PG,317557891.0,125000000
1568,1569,Harvard Man,2001,USA,99,English,R,56007.0,5500000
1569,1570,Head Over Heels,2001,USA,86,English,PG-13,10397365.0,14000000
1570,1571,Heartbreakers,2001,USA,123,English,PG-13,40334024.0,35000000
1571,1572,Hearts in Atlantis,2001,USA,101,English,PG-13,24185781.0,31000000
1572,1573,Hedwig and the Angry Inch,2001,USA,95,English,R,3029081.0,6000000
1573,1574,High Heels and Low Lifes,2001,UK,86,English,R,226792.0,10000000
1574,1575,How High,2001,USA,93,English,R,31155435.0,12000000
1575,1576,I Am Sam,2001,USA,132,English,PG-13,40270895.0,22000000
1576,1577,Impostor,2001,USA,102,English,R,6114237.0,40000000
1577,1578,In the Bedroom,2001,USA,138,English,R,35918429.0,1700000
1578,1579,Iris,2001,UK,91,English,R,1292119.0,5500000
1579,1580,Jason X,2001,USA,85,English,R,12610731.0,11000000
1580,1581,Jay and Silent Bob Strike Back,2001,USA,104,English,R,30059386.0,22000000
1581,1582,Jeepers Creepers,2001,Germany,90,English,R,37470017.0,10000000
1582,1583,Jimmy Neutron: Boy Genius,2001,USA,82,English,G,80920948.0,30000000
1583,1584,Joe Dirt,2001,USA,91,English,PG-13,27087695.0,17700000
1584,1585,Joe Somebody,2001,USA,98,English,PG,22770864.0,38000000
1585,1586,Josie and the Pussycats,2001,Canada,98,English,PG-13,14252830.0,22000000
1586,1587,Joy Ride,2001,USA,97,English,R,21973182.0,23000000
1587,1588,Jurassic Park III,2001,USA,92,English,PG-13,181166115.0,93000000
1588,1589,Just Visiting,2001,France,84,English,PG-13,4777007.0,40000000
1589,1590,K-PAX,2001,USA,120,English,PG-13,50173190.0,48000000
1590,1591,Kate & Leopold,2001,USA,123,English,PG-13,47095453.0,48000000
1591,1592,Kiss of the Dragon,2001,France,98,English,R,36833473.0,25000000
1592,1593,Kissing Jessica Stein,2001,USA,97,English,R,7022940.0,1000000
1594,1595,L.I.E.,2001,USA,97,English,NC-17,1141829.0,700000
1595,1596,Lara Croft: Tomb Raider,2001,USA,100,English,PG-13,131144183.0,115000000
1596,1597,Last Orders,2001,UK,109,English,R,2326407.0,12000000
1597,1598,Legally Blonde,2001,USA,96,English,PG-13,95001351.0,18000000
1598,1599,Life as a House,2001,USA,125,English,R,15561627.0,18000000
1599,1600,Lovely & Amazing,2001,USA,91,English,R,4186931.0,250000
1600,1601,Lucky Break,2001,UK,107,English,PG-13,54606.0,6000000
1601,1602,Made,2001,USA,95,English,R,5308707.0,5000000
1603,1604,Max Keeble's Big Move,2001,USA,91,English,PG,17292381.0,12000000
1604,1605,Mean Machine,2001,UK,99,English,R,92191.0,2500000
1605,1606,Megiddo: The Omega Code 2,2001,USA,104,English,PG-13,5974653.0,22000000
1606,1607,Monkeybone,2001,USA,93,English,PG-13,5409517.0,75000000
1607,1608,Monsoon Wedding,2001,India,114,Hindi,R,13876974.0,7000000
1608,1609,Monster's Ball,2001,USA,112,English,R,31252964.0,4000000
1609,1610,"Monsters, Inc.",2001,USA,92,English,G,289907418.0,115000000
1610,1611,Moulin Rouge!,2001,USA,127,English,PG-13,57386369.0,52500000
1611,1612,Mulholland Drive,2001,France,147,English,R,7219578.0,15000000
1612,1613,Never Again,2001,USA,98,English,R,295468.0,500000
1613,1614,Not Another Teen Movie,2001,USA,99,English,R,37882551.0,16000000
1614,1615,Novocaine,2001,USA,95,English,R,2025238.0,6000000
1615,1616,Nowhere in Africa,2001,Germany,141,English,R,6173485.0,7000000
1616,1617,O,2001,USA,95,English,R,16017403.0,5000000
1617,1618,O,2001,USA,95,English,R,16017403.0,5000000
1618,1619,Ocean's Eleven,2001,USA,116,English,PG-13,183405771.0,85000000
1619,1620,On the Line,2001,USA,85,English,PG,4356743.0,16000000
1620,1621,Original Sin,2001,France,118,English,R,16252765.0,42000000
1621,1622,Osmosis Jones,2001,USA,95,English,PG,13596911.0,70000000
1622,1623,Out Cold,2001,USA,89,English,PG-13,13903262.0,11000000
1623,1624,Pearl Harbor,2001,USA,184,English,PG-13,198539855.0,140000000
1624,1625,Planet of the Apes,2001,USA,119,English,PG-13,180011740.0,100000000
1625,1626,Planet of the Apes,2001,USA,119,English,PG-13,180011740.0,100000000
1626,1627,Pootie Tang,2001,USA,81,English,PG-13,3293258.0,3000000
1627,1628,Rat Race,2001,Canada,112,English,PG-13,56607223.0,48000000
1628,1629,Recess: School's Out,2001,USA,82,English,G,36696761.0,23000000
1629,1630,Riding in Cars with Boys,2001,USA,132,English,PG-13,29781453.0,48000000
1630,1631,Rock Star,2001,USA,105,English,R,16991902.0,57000000
1631,1632,Rush Hour 2,2001,USA,90,English,PG-13,226138454.0,90000000
1632,1633,Save the Last Dance,2001,USA,112,English,PG-13,91038276.0,13000000
1633,1634,Saving Silverman,2001,USA,96,English,PG-13,19351569.0,22000000
1634,1635,Say It Isn't So,2001,USA,95,English,R,5516708.0,25000000
1635,1636,Scary Movie 2,2001,USA,83,English,R,71277420.0,45000000
1636,1637,See Spot Run,2001,USA,94,English,PG,33357476.0,35000000
1637,1638,Serendipity,2001,USA,82,English,PG-13,49968653.0,28000000
1638,1639,Session 9,2001,USA,100,English,R,373967.0,1500000
1639,1640,Shallow Hal,2001,USA,114,English,PG-13,70836296.0,40000000
1640,1641,Shaolin Soccer,2001,Hong Kong,85,Cantonese,PG,488872.0,10000000
1641,1642,Shrek,2001,USA,90,English,PG,267652016.0,60000000
1642,1643,Someone Like You...,2001,USA,97,English,PG-13,27338033.0,23000000
1643,1644,Soul Survivors,2001,USA,84,English,PG-13,3100650.0,14000000
1644,1645,Spirited Away,2001,Japan,125,Japanese,PG,10049886.0,19000000
1645,1646,Spy Game,2001,Germany,114,English,R,26871.0,92000000
1646,1647,Spy Kids,2001,USA,88,English,PG,112692062.0,35000000
1647,1648,Summer Catch,2001,USA,108,English,PG-13,19693891.0,34000000
1648,1649,Super Troopers,2001,USA,100,English,R,18488314.0,1200000
1649,1650,Sweet November,2001,USA,119,English,PG-13,25178165.0,40000000
1650,1651,Swordfish,2001,USA,99,English,R,69772969.0,80000000
1651,1652,Texas Rangers,2001,USA,110,English,PG-13,623374.0,38000000
1652,1653,The Animal,2001,USA,84,English,PG-13,55762229.0,22000000
1653,1654,The Believer,2001,USA,98,English,R,406035.0,1500000
1654,1655,The Brothers,2001,USA,106,English,R,27457409.0,6000000
1657,1658,The Curse of the Jade Scorpion,2001,USA,103,English,PG-13,7496522.0,26000000
1658,1659,The Fast and the Furious,2001,USA,106,English,PG-13,144512310.0,38000000
1659,1660,The Fast and the Furious,2001,USA,106,English,PG-13,144512310.0,38000000
1660,1661,The Fast and the Furious,2001,USA,106,English,PG-13,144512310.0,38000000
1661,1662,The Forsaken,2001,USA,90,English,R,6755271.0,5000000
1662,1663,The Glass House,2001,USA,106,English,PG-13,17951431.0,30000000
1663,1664,The Jimmy Show,2001,USA,96,English,R,703.0,1500000
1664,1665,The Last Castle,2001,USA,131,English,R,18208078.0,60000000
1665,1666,The Legend of Suriyothai,2001,Thailand,300,Thai,R,454255.0,400000000
1666,1667,The Lord of the Rings: The Fellowship of the Ring,2001,New Zealand,171,English,PG-13,313837577.0,93000000
1667,1668,The Lost Skeleton of Cadavra,2001,USA,90,English,PG,110536.0,40000
1668,1669,The Majestic,2001,USA,152,English,PG,27796042.0,72000000
1669,1670,The Mexican,2001,USA,123,English,R,66808615.0,34000000
1670,1671,The Mummy Returns,2001,USA,130,English,PG-13,202007640.0,98000000
1671,1672,The Musketeer,2001,Germany,104,English,PG-13,27053815.0,40000000
1672,1673,The One,2001,USA,85,English,PG-13,43905746.0,49000000
1673,1674,The Other Side of Heaven,2001,USA,113,English,PG,4720371.0,7000000
1674,1675,The Others,2001,USA,101,English,PG-13,96471845.0,17000000
1675,1676,The Pledge,2001,USA,124,English,R,19719930.0,45000000
1676,1677,The Princess Diaries,2001,USA,111,English,G,108244774.0,37000000
1677,1678,The Royal Tenenbaums,2001,USA,110,English,R,52353636.0,21000000
1678,1679,The Score,2001,USA,124,English,R,71069884.0,68000000
1679,1680,The Shipping News,2001,USA,111,English,R,11405825.0,35000000
1680,1681,The Tailor of Panama,2001,USA,109,English,R,13491653.0,18000000
1681,1682,The Wash,2001,USA,93,English,R,10097096.0,4000000
1682,1683,The Wedding Planner,2001,Germany,103,English,PG-13,60400856.0,35000000
1683,1684,Thir13en Ghosts,2001,USA,91,English,R,41867960.0,20000000
1684,1685,Thirteen Conversations About One Thing,2001,USA,104,English,R,3287435.0,4500000
1685,1686,Tomcats,2001,USA,95,English,R,13558739.0,11000000
1686,1687,Town & Country,2001,New Line,104,English,R,6712451.0,90000000
1687,1688,Training Day,2001,USA,122,English,R,76261036.0,45000000
1688,1689,Two Can Play That Game,2001,USA,90,English,R,22235901.0,6000000
1689,1690,Valentine,2001,USA,96,English,R,20384136.0,10000000
1690,1691,Vanilla Sky,2001,USA,141,English,R,100614858.0,68000000
1691,1692,Wasabi,2001,France,94,French,R,81525.0,15300000
1692,1693,What's the Worst That Could Happen?,2001,USA,94,English,PG-13,32095318.0,45000000
1693,1694,Winged Migration,2001,France,81,English,G,10762178.0,160000000
1694,1695,Y Tu MamÃ¡ TambiÃ©n,2001,Mexico,106,Spanish,R,13622333.0,2000000
1695,1696,Zoolander,2001,Germany,90,English,PG-13,45162741.0,28000000
1696,1697,25th Hour,2002,USA,108,English,R,13060843.0,15000000
1697,1698,28 Days Later...,2002,UK,113,English,R,45063889.0,8000000
1698,1699,40 Days and 40 Nights,2002,USA,96,English,R,37939782.0,17000000
1699,1700,8 Mile,2002,USA,110,English,R,116724075.0,41000000
1700,1701,8 Women,2002,France,111,French,R,3076425.0,8000000
1701,1702,A Walk to Remember,2002,USA,101,English,PG,41227069.0,11000000
1702,1703,Abandon,2002,USA,99,English,PG-13,10719367.0,25000000
1703,1704,About a Boy,2002,UK,101,English,PG-13,40566655.0,30000000
1704,1705,About Schmidt,2002,USA,125,English,R,65010106.0,30000000
1705,1706,Adaptation.,2002,USA,81,English,R,22245861.0,19000000
1706,1707,All About the Benjamins,2002,USA,95,English,R,25482931.0,14000000
1707,1708,All or Nothing,2002,UK,121,English,R,112935.0,9000000
1708,1709,Amen.,2002,France,132,English,Unrated,274299.0,103000000
